item_id;product;domain_id;sold_quantity;title;tags;category_id;price;seller_address.country.name;official_store_id;condition;start_time;listing_type_id;seller_address.state.name;catalog_product_id;seller_id;health;initial_quantity;warranty;available_quantity;original_price;base_price;questions_total;user_user_type;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.canceled;user_seller_reputation.power_seller_status;product_domain_id;product_name
MLA885023955;Dell Inspiron;MLA-NOTEBOOKS;4;Laptop Dell Inspiron 4gb Ram 128gb Ssd Intel Celeron 15.6´´;['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible'];MLA1652;54999.0;Argentina;;new;2020-10-22T20:10:41.000Z;gold_special;Capital Federal;MLA15247986;119914491;0.87;5;Garantía del vendedor: 3 meses;1;;54999.0;7.0;normal;0.03;0.95;5_green;0.02;GAMESTATION ARG;16913.0;1893.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3583
MLA833393643;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Laptop Dell Inspiron I5 10g 8g 256gb Ubuntu Oferta;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;108999.0;Argentina;69;new;2020-01-07T19:00:30.000Z;gold_special;Capital Federal;MLA15349659;179571326;0.8;53;Garantía de fábrica: 1 años;1;175448;108999.0;187.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3493
MLA804164325;Dell Inspiron;MLA-NOTEBOOKS;50;Notebook Gamer Dell I7 10ma 16gb Ssd480 Win10 Geforce Mx230;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;187875.0;Argentina;;new;2019-07-27T23:48:13.000Z;gold_special;Capital Federal;MLA15344922;131648529;0.9;73;Garantía de fábrica: 12 meses;1;279999;187875.0;256.0;normal;0.01;0.97;5_green;0.02;PCCENTERCOMPUTERS;27996.0;1434.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA680918722;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Inspiron I5 16gb 256ssd Win 10 Gforce Oferta;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;154999.0;Argentina;69;new;2017-08-30T17:40:05.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.87;66;Garantía de fábrica: 1 años;1;255613;154999.0;299.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA874923382;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Inspiron 5593 I5 10ma 8gb Ssd 256 15,6 Full Hd;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;129999.0;Argentina;;new;2020-08-24T17:55:26.000Z;gold_special;Capital Federal;MLA15344922;9198894;0.9;26;Garantía de fábrica: 6 meses;1;;129999.0;;normal;0.02;0.97;5_green;0.01;COOL-TECH-;4703.0;267.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA880715787;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Inspiron 3593 15,6 I5 1035g 8gb 256g W10h Fhd;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;129999.0;Argentina;;new;2020-09-25T19:10:51.000Z;gold_special;Capital Federal;MLA15349658;482880972;0.75;10;Garantía de fábrica: 12 meses;1;;129999.0;23.0;normal;0.0;0.99;5_green;0.01;MAGATEKNO;3252.0;152.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 3593
MLA899865443;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Dell Gamer I7 5593 10ma 32gb Ssd256 + 1tb W10 Mx230;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];MLA1652;179999.0;Argentina;;new;2020-12-03T20:52:49.000Z;gold_special;Capital Federal;MLA15344922;31875925;0.9;10002;Garantía de fábrica: 1 años;5000;;179999.0;13.0;normal;0.02;0.96;5_green;0.02;ESPACIO ELECTRONICA;123958.0;8092.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA881144329;Dell Inspiron;MLA-NOTEBOOKS;2;Notebook Dell Inspiron I7 256ssd + 1tb 16gb 15.6 W10 Gf;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;178399.0;Argentina;69;new;2020-09-28T13:30:01.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.8;19;;1;;178399.0;10.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA810723717;Dell Inspiron;MLA-NOTEBOOKS;25;Notebook Gamer Dell 5593 I5 10ma 32gb Ssd256 + 1tb Win10;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;161975.0;Argentina;;new;2019-08-22T19:55:11.000Z;gold_special;Capital Federal;MLA15344922;131648529;0.9;67;Garantía de fábrica: 1 años;1;234999;161975.0;142.0;normal;0.01;0.97;5_green;0.02;PCCENTERCOMPUTERS;27996.0;1434.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
MLA837839027;Dell Inspiron;MLA-NOTEBOOKS;5;Notebook Laptop Dell I7 10g 32g 256ssd + 480ssd W10 Gforce;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];MLA1652;188999.0;Argentina;69;new;2020-02-06T17:06:42.000Z;gold_special;Capital Federal;MLA15344922;179571326;0.9;35;Garantía de fábrica: 1 años;1;259999;188999.0;83.0;brand;0.02;0.96;5_green;0.02;TIENDASMERCADOLIBRE;6790.0;509.0;platinum;MLA-NOTEBOOKS;Dell Inspiron 5593
