id,initial_quantity,original_price,accepts_mercadopago,base_price,seller_address.country.name,listing_type_id,start_time,buying_mode,price,warranty,available_quantity,tags,status,seller_address.state.name,health,catalog_product_id,seller_id,category_id,title,condition,sold_quantity,official_store_id,domain_id,item_id
MLA899797530,10,,True,19000.0,Argentina,gold_special,2020-12-03T13:37:24.000Z,buy_it_now,19000.0,Garantía del vendedor: 6 meses,1,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.7,MLA9413721,79599554,MLA1055,Celular Motorola Xt1922-4 - Moto G6 Play - 32gb - Dorado,new,5,,MLA-CELLPHONES,MLA899797530
MLA902102999,1,,True,16000.0,Argentina,gold_special,2020-12-23T17:44:46.000Z,buy_it_now,16000.0,Sin garantía,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.77,MLA9652753,184895209,MLA1055,Moto G6 32 Gb Usado,used,0,,MLA-CELLPHONES,MLA902102999
MLA844157293,11,,True,18999.0,Argentina,gold_special,2020-03-16T20:34:25.000Z,buy_it_now,18999.0,Garantía del vendedor: 90 días,1,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.72,MLA9652753,304248120,MLA1055,Motorola Moto G6 Bueno Indigo Liberado,new,5,,MLA-CELLPHONES,MLA844157293
MLA904510711,1,,True,21000.0,Argentina,gold_special,2021-01-16T20:42:00.000Z,buy_it_now,21000.0,Garantía del vendedor: 6 meses,1,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.8,MLA9652753,216203805,MLA1055,Moto G6 32 Gb Plata 3 Gb Ram Tienda Hyt,new,0,,MLA-CELLPHONES,MLA904510711
MLA900570213,1,,True,8990.0,Argentina,gold_special,2020-12-10T19:52:50.000Z,buy_it_now,8990.0,Sin garantía,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",active,Buenos Aires,0.66,MLA9652753,98247283,MLA1055,Celular Moto G6 Para Repuesto / No Prende,used,0,,MLA-CELLPHONES,MLA900570213
MLA837480456,37,,True,28299.0,Argentina,gold_special,2020-02-04T12:48:36.000Z,buy_it_now,28299.0,Garantía del vendedor: 90 días,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.72,MLA9452522,304248120,MLA1055,Motorola Moto G6 Plus Muy Bueno Indigo Liberado,new,25,,MLA-CELLPHONES,MLA837480456
MLA900491668,2601,,True,74999.0,Argentina,gold_pro,2020-12-10T12:54:10.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,,MLA16211370,608846165,MLA1055,Samsung Galaxy S20 Fe 128 Gb Cloud Navy 6 Gb Ram,new,500,1550,MLA-CELLPHONES,MLA900491668
MLA885848688,39,,True,114999.0,Argentina,gold_special,2020-10-28T19:27:22.000Z,buy_it_now,114999.0,Garantía de fábrica: 12 meses,1,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA15482172,287440338,MLA1055,Samsung Galaxy S20+ 128 Gb Cosmic Gray 8 Gb Ram,new,25,1425,MLA-CELLPHONES,MLA885848688
MLA903779886,6,,True,153999.0,Argentina,gold_special,2021-01-10T21:30:32.000Z,buy_it_now,153999.0,Garantía de fábrica: 12 meses,1,"['loyalty_discount_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA15764703,79076726,MLA1055,Samsung Galaxy S20 Ultra 128 Gb Cosmic Black 12 Gb Ram,new,5,,MLA-CELLPHONES,MLA903779886
MLA896352575,3196,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition Azul,new,500,1550,MLA-CELLPHONES,MLA896352575
MLA896353418,1988,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:35.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,500,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition Verde,new,500,1550,MLA-CELLPHONES,MLA896353418
MLA898866036,12,,True,74999.0,Argentina,gold_special,2020-11-26T14:00:06.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,1,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16144128,172753273,MLA1055,Celular Samsung Galaxy S20 Fe (fan Edition) Liberado Rojo,new,0,,MLA-CELLPHONES,MLA898866036
MLA896352574,348,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,100,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition ,new,200,1550,MLA-CELLPHONES,MLA896352574
MLA896352576,793,,True,74999.0,Argentina,gold_pro,2020-11-09T12:46:34.000Z,buy_it_now,74999.0,Garantía de fábrica: 12 meses,250,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment']",active,Buenos Aires,1,MLA16144128,608846165,MLA1055,Samsung S20 Fan Edition,new,250,1550,MLA-CELLPHONES,MLA896352576
