product_id,product_name,product_sold_quantity,product_domain_id
MLA16267559,Apple MacBook Pro A2251 (Mid 2020),0.0,MLA-NOTEBOOKS
MLA15248256,Apple MacBook Pro A2159,0.0,MLA-NOTEBOOKS
MLA15741419,Apple MacBook Pro A1502 - 8 GB - 256 GB - 2560 px x 1600 px - Intel HD Graphics 6100 - Intel - Core i5 - 5257U - 60 Hz - macOS - X - 10,0.0,MLA-NOTEBOOKS
MLA15562880,Apple MacBook Pro A1708 (Mid 2017),0.0,MLA-NOTEBOOKS
MLA16591147,Apple MacBook Air A2337 - Space gray - 8 GB - 512 GB - 2560 px x 1600 px - Apple GPU - Apple - M1 - macOS - X - 11,0.0,MLA-NOTEBOOKS
MLA16591146,Apple MacBook Air A2337,0.0,MLA-NOTEBOOKS
MLA15543662,Apple MacBook Air A1932 (late 2018),0.0,MLA-NOTEBOOKS
MLA15741418,Apple MacBook Pro A1502 - 8 GB - 128 GB - 2560 px x 1600 px - Intel HD Graphics 6100 - Intel - Core i5 - 5257U - 60 Hz - macOS - X - 10,0.0,MLA-NOTEBOOKS
MLA15313470,Apple MacBook Air A1466 - Silver - 8 GB - 256 GB - 1440 px x 900 px - Intel HD Graphics 6000 - Intel - Core i5 - 5350U - macOS - Sierra - 10,0.0,MLA-NOTEBOOKS
MLA15246684,Apple MacBook Pro A1990,0.0,MLA-NOTEBOOKS
MLA15294677,Apple MacBook Pro A1707,0.0,MLA-NOTEBOOKS
MLA15246685,Apple MacBook Pro A1990 - Space gray - 16 GB - 512 GB - 2880 px x 1800 px - AMD Radeon Pro 560X - Intel - Core i9 - 9880H - 60 Hz - macOS - X - 10,0.0,MLA-NOTEBOOKS
MLA15294678,Apple MacBook Pro A1707 - Space gray - 16 GB - 256 GB - 2880 px x 1800 px - AMD Radeon Pro 450 - Intel - Core i7 - 6700HQ - 60 Hz - macOS - X - 10,0.0,MLA-NOTEBOOKS
MLA15272577,Dell Vostro 3480,0.0,MLA-NOTEBOOKS
MLA16639105,Dell Vostro 3590,0.0,MLA-NOTEBOOKS
MLA15504025,Dell Vostro 5391,0.0,MLA-NOTEBOOKS
MLA15737996,Dell Vostro 5390,0.0,MLA-NOTEBOOKS
MLA15247974,Dell Latitude 5490,0.0,MLA-NOTEBOOKS
MLA15978623,Dell XPS 9300,0.0,MLA-NOTEBOOKS
MLA16173015,Dell Vostro 3490,0.0,MLA-NOTEBOOKS
MLA16050878,Dell Vostro 3591,0.0,MLA-NOTEBOOKS
MLA15298514,Dell Vostro 5481,0.0,MLA-NOTEBOOKS
MLA15305933,Dell Latitude 3500,0.0,MLA-NOTEBOOKS
