,product,buying_mode,title,start_time,seller_address.country.name,status,seller_address.state.name,tags,available_quantity,listing_type_id,catalog_product_id,condition,warranty,id,accepts_mercadopago,sold_quantity,category_id,original_price,price,base_price,domain_id,official_store_id,seller_id,initial_quantity,health,item_id,reviews_rating_levels.one_star,reviews_rating_levels.five_star,reviews_rating_levels.three_star,reviews_paging.total,reviews_rating_average,reviews_rating_levels.four_star,reviews_rating_levels.two_star
11,Dell Vostro,buy_it_now,Dell Vostro I7 10510u 10gen 512 Gb Ssd 24gb Ram Nvidia Mx250,2020-10-15T21:38:35.000Z,Argentina,active,Córdoba,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15737996,new,Garantía del vendedor: 12 meses,MLA884086980,True,0,MLA1652,,199990.0,199990.0,MLA-NOTEBOOKS,,98554898,2,0.75,MLA884086980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Dell Vostro,buy_it_now,Notebook Dell Vostro 5490 I5 10°- 8gb- 250 Gb Ssd- W10p ,2020-08-24T17:10:37.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15247974,new,Garantía de fábrica: 1 años,MLA874909187,True,4,MLA1652,,158002.91,158002.91,MLA-NOTEBOOKS,,13869180,10,0.8,MLA874909187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6  8gb 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:30.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897766175,True,0,MLA1652,123999,112999.0,112999.0,MLA-NOTEBOOKS,69,179571326,5,0.75,MLA897766175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 12gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:29:22.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897952230,True,0,MLA1652,116999,98599.0,98599.0,MLA-NOTEBOOKS,69,179571326,12,0.8,MLA897952230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Dell Vostro,buy_it_now,Permuto Notebook Dell Intel Core Geforce 9300 4gb Windows10,2020-07-14T18:57:11.000Z,Argentina,active,Capital Federal,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15978623,used,Sin garantía,MLA868055967,True,0,MLA1652,,28999.0,28999.0,MLA-NOTEBOOKS,,558665281,1,0.55,MLA868055967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Dell Vostro,buy_it_now,Notebook Laptop Dell Vostro I5 16gb 1tb + 240ssd 14 Win,2020-09-28T13:30:38.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16173015,new,,MLA881142768,True,0,MLA1652,,131699.0,131699.0,MLA-NOTEBOOKS,69,179571326,10,0.8,MLA881142768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Dell Vostro,buy_it_now,Notebook Dell Vostro 3480 I3-8145u 8gb 1tb W10pro 14 ,2020-11-25T18:01:18.000Z,Argentina,active,Capital Federal,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15272577,new,Garantía del vendedor: 6 meses,MLA898731619,True,0,MLA1652,,104999.0,104999.0,MLA-NOTEBOOKS,,60389,10,0.7,MLA898731619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Dell Vostro,buy_it_now,Notebook Laptop Dell Vostro I5 8gb 1tb 14 Win,2020-09-28T13:29:45.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16173015,new,,MLA881142706,True,0,MLA1652,,119699.0,119699.0,MLA-NOTEBOOKS,69,179571326,10,0.8,MLA881142706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 32g 1tb + 480ssd Ubuntu  Ñ,2020-11-19T18:46:30.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897956961,True,0,MLA1652,124999,110999.0,110999.0,MLA-NOTEBOOKS,69,179571326,18,0.77,MLA897956961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 32 Gb 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:19:03.000Z,Argentina,active,Capital Federal,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897945838,True,0,MLA1652,149999,131999.0,131999.0,MLA-NOTEBOOKS,69,179571326,24,0.8,MLA897945838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
