item_id,product
MLA880373342,Lenovo Ideapad
MLA901192965,Lenovo Ideapad
MLA898095689,Lenovo Ideapad
MLA879470343,Lenovo Ideapad
MLA898095592,Lenovo Ideapad
MLA874052902,Lenovo Ideapad
MLA872154158,Lenovo Ideapad
MLA886159618,Lenovo Ideapad
MLA899071712,Lenovo Ideapad
MLA901192463,Lenovo Ideapad
MLA901847314,Lenovo Ideapad
MLA884489286,Lenovo Ideapad
MLA876774404,Lenovo Ideapad
MLA899930093,Lenovo Ideapad
MLA901192962,Lenovo Ideapad
MLA884210037,Lenovo Ideapad
MLA873400545,Lenovo Ideapad
MLA895931292,Lenovo Ideapad
MLA897760042,Lenovo Ideapad
MLA900274664,Lenovo Ideapad
MLA898911990,Lenovo Ideapad
MLA901846574,Lenovo Ideapad
MLA878139970,Lenovo Ideapad
MLA861858776,Lenovo Ideapad
MLA900364708,Lenovo Ideapad
MLA897721176,Lenovo Ideapad
MLA875512766,Lenovo Ideapad
MLA875916696,Lenovo Ideapad
MLA900263705,Lenovo Ideapad
MLA884208569,Lenovo Ideapad
MLA867370156,Lenovo Ideapad
MLA861405881,Lenovo Ideapad
MLA897719970,Lenovo Ideapad
MLA896989163,Lenovo Ideapad
MLA884482063,Lenovo Ideapad
MLA902693615,Lenovo Ideapad
MLA813783863,Lenovo Ideapad
MLA880269382,Lenovo Ideapad
MLA902606097,Lenovo Ideapad
MLA883066707,Lenovo Ideapad
MLA882660020,Lenovo Ideapad
MLA838497511,Lenovo Ideapad
MLA872769243,Lenovo Ideapad
MLA884512916,Lenovo Ideapad
MLA879429096,Lenovo Ideapad
MLA899411540,Lenovo Ideapad
MLA872756434,Lenovo Ideapad
MLA903591989,Lenovo Ideapad
MLA881933750,Lenovo Ideapad
MLA896741565,Lenovo Ideapad
MLA901568438,Lenovo Ideapad
MLA900040508,Lenovo Ideapad
MLA899538038,Lenovo Ideapad
MLA837381579,Lenovo Ideapad
MLA884738137,Lenovo Ideapad
MLA902375661,Lenovo Ideapad
MLA885124857,Lenovo Ideapad
MLA896592699,Lenovo Ideapad
MLA901192462,Lenovo Ideapad
MLA903356299,Lenovo Ideapad
MLA885156406,Lenovo Ideapad
MLA899101480,Lenovo Ideapad
MLA882080227,Lenovo Ideapad
MLA903110659,Lenovo Ideapad
MLA884054976,Lenovo Ideapad
MLA884210309,Lenovo Ideapad
MLA882081974,Lenovo Ideapad
MLA885263821,Lenovo Ideapad
MLA901412408,Lenovo Ideapad
MLA870044487,Lenovo Ideapad
MLA884932108,Lenovo Ideapad
MLA900725970,Lenovo Ideapad
MLA850618819,Lenovo Ideapad
MLA897607868,Lenovo Ideapad
MLA898093702,Lenovo Ideapad
MLA896603401,Lenovo Ideapad
MLA861564470,Lenovo Ideapad
MLA880269168,Lenovo Ideapad
MLA903219556,Lenovo Ideapad
MLA897952143,Lenovo Ideapad
MLA837379455,Lenovo Ideapad
MLA872201988,Lenovo Ideapad
MLA896770153,Lenovo Ideapad
MLA903219559,Lenovo Ideapad
MLA900268839,Lenovo Ideapad
MLA903438676,Lenovo Ideapad
MLA901464821,Lenovo Ideapad
MLA868670133,Lenovo Ideapad
MLA901191781,Lenovo Ideapad
MLA831133889,Lenovo Ideapad
MLA850908854,Lenovo Ideapad
MLA831135675,Lenovo Ideapad
MLA899399672,Lenovo Ideapad
MLA897464418,Lenovo Ideapad
MLA861566253,Lenovo Ideapad
MLA850619555,Lenovo Ideapad
MLA882885015,Lenovo Ideapad
MLA882089027,Lenovo Ideapad
MLA882884369,Lenovo Ideapad
MLA884737281,Lenovo Ideapad
MLA900268813,Lenovo Ideapad
MLA861565314,Lenovo Ideapad
MLA901845729,Lenovo Ideapad
MLA885813133,Lenovo Ideapad
MLA899868407,Lenovo Ideapad
MLA886519035,Lenovo Ideapad
MLA896567769,Lenovo Ideapad
MLA856810253,Lenovo Ideapad
