item_id,product,available_quantity,listing_type_id,initial_quantity,sold_quantity,base_price,catalog_product_id,accepts_mercadopago,seller_address.country.name,status,tags,seller_id,price,warranty,original_price,domain_id,health,buying_mode,title,condition,category_id,official_store_id,start_time,seller_address.state.name,questions_total,user_user_type,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.level_id,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.canceled,user_seller_reputation.power_seller_status,user_seller_reputation.transactions.ratings.negative,user_nickname,product_domain_id,product_name
MLA901847314,Lenovo Ideapad,1,gold_special,55,5,74999.0,MLA15738290,True,Argentina,active,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",608846165,74999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo Amd Ryzen 3 8gb 256ssd Windows 10,new,MLA1652,1938,2020-12-21T17:34:39.000Z,Buenos Aires,28.0,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad S340-15API
MLA884489286,Lenovo Ideapad,1,gold_special,66,25,89999.0,MLA16041756,True,Argentina,active,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",193659561,89999.0,Garantía de fábrica: 6 meses,,MLA-NOTEBOOKS,0.8,buy_it_now,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd Tactil",new,MLA1652,,2020-10-19T16:15:53.000Z,Capital Federal,88.0,normal,0.98,0.01,5_green,6784.0,388.0,platinum,0.01,JFS TECH,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05
MLA876774404,Lenovo Ideapad,1,gold_special,25,5,63000.0,MLA15349660,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",15096445,63000.0,Garantía de fábrica: 12 meses,79500,MLA-NOTEBOOKS,0.75,buy_it_now,Notebook Lenovo Ideapad Slim 14p Amd A4 4gb 64gb Windows 10,new,MLA1652,,2020-09-04T15:53:33.000Z,Capital Federal,11.0,normal,0.98,0.01,5_green,66311.0,4294.0,platinum,0.01,TECNOLIFE ARG,MLA-NOTEBOOKS,Lenovo IdeaPad Slim 1 1-14AST-05
MLA899930093,Lenovo Ideapad,100,gold_special,149,5,99999.0,MLA16041756,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",608846165,99999.0,Garantía de fábrica: 12 meses,107999,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo Intel Core I5 8gb 256ssd Windows 10,new,MLA1652,1938,2020-12-04T14:21:46.000Z,Buenos Aires,,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05
MLA901192962,Lenovo Ideapad,50,gold_pro,101,5,79999.0,MLA15698353,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",608846165,79999.0,Garantía de fábrica: 12 meses,84999,MLA-NOTEBOOKS,1.0,buy_it_now,Notebook Lenovo Intel Core I3 4gb 256ssd Windows 10,new,MLA1652,1938,2020-12-15T20:39:49.000Z,Buenos Aires,,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IIL
MLA884210037,Lenovo Ideapad,1,gold_special,75,25,41999.0,,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",69526727,41999.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo 11.6 Hd Intel Ssd 128gb Ram 4gb Wifi Freedos,new,MLA1652,,2020-10-16T17:41:24.000Z,Capital Federal,45.0,normal,0.96,0.02,5_green,28173.0,1467.0,platinum,0.02,ELECTRONIC-MARKET,,
MLA873400545,Lenovo Ideapad,1,gold_special,10,5,54999.99,MLA15349660,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",245645298,54999.99,Garantía de fábrica: 1 meses,,MLA-NOTEBOOKS,0.75,buy_it_now,Notebook Lenovo 14 Windows 10 4gb 64gb Ssd Amd 1-14ast-05,new,MLA1652,,2020-08-14T21:16:16.000Z,Capital Federal,30.0,normal,0.89,0.03,5_green,70783.0,10794.0,platinum,0.08,PANDASHOP_ARG,MLA-NOTEBOOKS,Lenovo IdeaPad Slim 1 1-14AST-05
MLA895931292,Lenovo Ideapad,1,gold_pro,15,5,113999.0,MLA16189144,True,Argentina,active,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",99808494,113999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Ryzen 5 3500u 8gb Ssd 256 Lenovo 15 Fhd Win 15ada05,new,MLA1652,,2020-11-05T20:23:05.000Z,Capital Federal,9.0,normal,0.98,0.01,5_green,5370.0,298.0,platinum,0.01,TIENDA.GO,MLA-NOTEBOOKS,Lenovo IdeaPad 3
MLA897760042,Lenovo Ideapad,1,gold_pro,37,5,138699.0,MLA15698353,True,Argentina,active,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",608846165,138699.0,Garantía de fábrica: 12 meses,145999,MLA-NOTEBOOKS,1.0,buy_it_now,Notebook Lenovo Intel Core I7 8gb 1tb Windows 10,new,MLA1652,1938,2020-11-18T17:28:07.000Z,Buenos Aires,56.0,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IIL
MLA900274664,Lenovo Ideapad,1,gold_special,66,5,48499.0,MLA15261473,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",258450419,48499.0,Garantía de fábrica: 12 meses,60629,MLA-NOTEBOOKS,0.9,buy_it_now,Notebook Lenovo Ideapad S145-15ast A6 9225 4gb 500gb 15' W10,new,MLA1652,829,2020-12-08T15:08:08.000Z,Capital Federal,22.0,brand,0.94,0.03,5_green,2727.0,200.0,platinum,0.03,DELTA TIENDASOFICIALES,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15AST - Negro - 4 GB - 500 GB - 1366 px x 768 px - AMD Radeon R4 - AMD - A6-Series - 9225 - Windows - 10 - Home
