;item_id;product;official_store_id;initial_quantity;seller_address.country.name;buying_mode;title;health;listing_type_id;seller_address.state.name;warranty;status;price;category_id;available_quantity;catalog_product_id;original_price;base_price;accepts_mercadopago;tags;start_time;condition;seller_id;domain_id;sold_quantity;questions_total;user_seller_reputation.level_id;user_seller_reputation.transactions.canceled;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.ratings.neutral;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.transactions.ratings.negative;user_nickname;product_domain_id;product_sold_quantity;product_name
379;MLA899045605;Lenovo Ideapad;;5;Argentina;buy_it_now;Notebook Lenovo 14  Intel I5 4gb 1tb Freedos Geforce Mx130;0.8;gold_special;Capital Federal;Garantía de fábrica: 6 meses;active;89999.0;MLA1652;1;MLA16189144;;89999.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-11-27T15:23:57.000Z;new;193659561;MLA-NOTEBOOKS;1;2.0;5_green;388.0;platinum;normal;0.01;6777.0;0.98;0.01;JFS TECH;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3
380;MLA874772491;Lenovo Ideapad;;2;Argentina;buy_it_now;Notebook Lenovo Ip S145-14iwl 4205u 4gb 500gb Win10s Regalo;0.77;gold_special;Buenos Aires;Garantía de fábrica: 12 meses;active;69998.99;MLA1652;1;MLA16056912;;69998.99;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-08-23T18:53:59.000Z;new;438170604;MLA-NOTEBOOKS;0;41.0;5_green;82.0;silver;normal;0.04;210.0;0.92;0.04;AMARELO_VERDE;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-14IWL
381;MLA884834165;Lenovo Ideapad;;4;Argentina;buy_it_now;Lenovo - Notebook I5 4gb 256gb Ssd- Ip S145-15iil - Gris;0.8;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;114999.0;MLA1652;1;MLA15698353;;114999.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-10-21T18:34:05.000Z;new;172753273;MLA-NOTEBOOKS;1;1.0;5_green;1923.0;platinum;normal;0.01;30890.0;0.98;0.01;DEVENTAS_TECH_STORE;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-15IIL
382;MLA881392802;Lenovo Ideapad;;3;Argentina;buy_it_now;Notebook Lenovo - Ip - S340 - Amd Ryzen 3 -14 Hd -1tb- W10;0.7;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;75900.0;MLA1652;1;MLA15253903;;75900.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-09-29T16:33:21.000Z;new;92152388;MLA-NOTEBOOKS;1;3.0;5_green;1433.0;platinum;normal;0.02;31471.0;0.97;0.01;GUIDO TEC;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S340
383;MLA896774844;Lenovo Ideapad;;13;Argentina;buy_it_now;Notebook Lenovo S340 Amd Ryzen 7 8gb 256gb Ssd Win 10 Cuotas;0.9;gold_pro;Capital Federal;Garantía de fábrica: 12 meses;active;147999.0;MLA1652;1;MLA15253903;;147999.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-11-11T19:42:26.000Z;new;179274188;MLA-NOTEBOOKS;1;4.0;5_green;12386.0;platinum;normal;0.02;179910.0;0.95;0.03;DALECLÍCK;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S340
384;MLA899972763;Lenovo Ideapad;;1003;Argentina;buy_it_now;Laptop Lenovo 15,6´´ 256gb 8gb Ram Intel Core I3 Windows 10;0.9;gold_special;Capital Federal;Garantía del vendedor: 3 meses;active;74999.0;MLA1652;500;MLA16189144;;74999.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];2020-12-04T19:37:59.000Z;new;119914491;MLA-NOTEBOOKS;4;8.0;5_green;1886.0;platinum;normal;0.02;16832.0;0.95;0.03;GAMESTATION ARG;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3
385;MLA883872949;Lenovo Ideapad;;2;Argentina;buy_it_now;Cloudbook Lenovo Ip S150-14  A4 9120e 4gb 64gb Win10h Azul;0.9;gold_pro;Capital Federal;Garantía de fábrica: 12 meses;active;62999.0;MLA1652;1;MLA15708601;;62999.0;TRUE;['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-10-14T18:08:09.000Z;new;167338436;MLA-NOTEBOOKS;1;;5_green;157.0;gold;normal;0.0;2593.0;0.99;0.01;NOVAINFOEXPRESS;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S150-14AST
386;MLA816674159;Lenovo Ideapad;;11;Argentina;buy_it_now;Notebook Lenovo S145 I5 20gb Ddr4 1tb Hdd + 256 Ssd M2 W10 ;0.9;gold_special;Capital Federal;Garantía de fábrica: 1 años;active;128900.0;MLA1652;1;MLA15248254;;128900.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2019-09-25T17:22:40.000Z;new;68286146;MLA-NOTEBOOKS;5;;5_green;2964.0;platinum;normal;0.01;40432.0;0.98;0.01;INSUMOS_ACUARIO;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad S145-15IWL
387;MLA899117152;Lenovo Ideapad;;1;Argentina;buy_it_now;Notebook Lenovo Ideapad 3 (15.6, Amd 5 3500, 8 Ram, 256 Ssd);0.87;gold_pro;Buenos Aires;Garantía del vendedor: 6 meses;active;114000.0;MLA1652;1;MLA16041756;;114000.0;TRUE;['good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-11-27T22:13:43.000Z;new;50031075;MLA-NOTEBOOKS;0;;;1.0;;normal;0.0;7.0;1.0;0.0;OMEGATECHGROUP;MLA-NOTEBOOKS;0.0;Lenovo IdeaPad 3 15IIL05
388;MLA868237379;Lenovo Ideapad;;1;Argentina;buy_it_now;Notebook Lenovo Ip I3 1005 G1 4gb Ssd 256 Gb 15.6 PuLG W10 H;0.9;gold_special;Buenos Aires;Garantía de fábrica: 12 meses;active;84999.0;MLA1652;1;MLA15488529;;84999.0;TRUE;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-07-15T16:36:29.000Z;new;209183697;MLA-NOTEBOOKS;0;;5_green;1295.0;platinum;normal;0.01;24614.0;0.97;0.02;XHARDSRLXHARD;MLA-NOTEBOOKS;0.0;Lenovo V-Series V130-15IKB
