;index;item_id;product;price;accepts_mercadopago;listing_type_id;available_quantity;initial_quantity;original_price;title;category_id;health;catalog_product_id;warranty;domain_id;sold_quantity;buying_mode;official_store_id;seller_address.state.name;start_time;status;condition;tags;seller_address.country.name;seller_id;base_price;questions_total;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.canceled;product_sold_quantity;product_domain_id;product_name
533;533;MLA876509507;Dell XPS;222599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9550 15.6 4k Ultra Hd Touchscreen Ultra®;MLA1652;0.62;MLA16537255;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:13.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;222599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9550
534;534;MLA876509616;Dell XPS;216599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9360 13.3in Qhd+ Touchscreen Laptop Pc I®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:25.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;216599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
535;535;MLA876509684;Dell XPS;199599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9360 13.3 Qhd Touchscreen Laptop Pc Inte®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:31.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;199599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
536;536;MLA876510146;Dell XPS;199599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9360 13.3in Qhd Touchscreen Laptop Pc In®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:11:54.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;199599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
537;537;MLA876510161;Dell XPS;175599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9360 13.3in Laptop 7th Gen Intel Core®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:06.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;175599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
538;538;MLA876508598;Dell XPS;216599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 9370 Laptop 13.3'' Fhd 1920 X 1080 Intel®;MLA1652;0.62;MLA15252019;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:05.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;216599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9370
539;539;MLA876508643;Dell XPS;221599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9370 Laptop 13.3'' Fhd 8th Gen Intel ®;MLA1652;0.62;MLA15252019;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:14.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;221599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9370
540;540;MLA876508750;Dell XPS;183599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13.3 Xps 9360-7697slv Qhd+ Touchscreen L®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:28.000Z;active;new;['incomplete_technical_specs', 'poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;638164371;183599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
541;541;MLA876509420;Dell XPS;191599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9360 13.3in Fhd Infinityedge Display ®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:00.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;191599.0;;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
542;542;MLA876509636;Dell XPS;199599.0;TRUE;gold_special;1;10;;Renovada) Dell Xps 13 9360 13.3in Fhd 1080p Laptop 7th Gen ®;MLA1652;0.62;MLA15713211;Garantía de fábrica: 6 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-03T07:12:27.000Z;active;new;['good_quality_picture', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible'];Argentina;638164371;199599.0;0.0;0.0;1.0;DIJU5794713;0.0;;0.0;;normal;1.0;0.0;MLA-NOTEBOOKS;Dell XPS 9360
